Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date","Last Trade","Avg IV","30D His Vol"
SBUX|20220311|125.00C,SBUX,125.00,-28.23%,0.05,0.10,0.15,0.05,0.00,unch,0,132,0.00,0.00%,Call,30,03/11/22,02/07/22,22.83%,23.14%
SBUX|20220311|130.00C,SBUX,130.00,-33.36%,0.01,0.15,0.28,0.03,0.00,unch,0,10,0.00,0.00%,Call,30,03/11/22,02/04/22,22.83%,23.14%
SBUX|20220311|135.00C,SBUX,135.00,-38.49%,0.03,0.14,0.24,0.00,0.00,unch,0,0,0.00,0.00%,Call,30,03/11/22,N/A,22.83%,23.14%
SBUX|20220311|140.00C,SBUX,140.00,-43.62%,0.02,0.11,0.19,0.05,0.00,unch,0,40,0.00,0.00%,Call,30,03/11/22,02/04/22,22.83%,23.14%
SBUX|20220311|65.00P,SBUX,65.00,-33.32%,0.01,0.07,0.12,0.22,0.00,unch,0,3,0.00,63.61%,Put,30,03/11/22,02/01/22,22.83%,23.14%
SBUX|20220311|70.00P,SBUX,70.00,-28.19%,0.05,0.31,0.56,0.00,0.00,unch,0,0,0.00,0.00%,Put,30,03/11/22,N/A,22.83%,23.14%
SBUX|20220311|75.00P,SBUX,75.00,-23.06%,0.06,0.40,0.74,0.28,0.00,unch,0,0,0.00,0.00%,Put,30,03/11/22,02/07/22,22.83%,23.14%
SBUX|20220311|80.00P,SBUX,80.00,-17.93%,0.26,0.51,0.75,0.38,0.00,unch,0,2,0.00,0.00%,Put,30,03/11/22,02/07/22,22.83%,23.14%
SBUX|20220311|85.00P,SBUX,85.00,-12.80%,0.31,0.39,0.46,0.39,-0.25,-39.06%,1,0,0.00,35.98%,Put,30,03/11/22,"10:47 ET",22.83%,23.14%
SBUX|20220311|90.00P,SBUX,90.00,-7.67%,0.67,0.74,0.81,1.33,0.00,unch,0,28,0.00,29.95%,Put,30,03/11/22,02/08/22,22.83%,23.14%
SBUX|20220311|91.00P,SBUX,91.00,-6.65%,0.80,0.87,0.94,1.60,0.00,unch,0,1,0.00,29.02%,Put,30,03/11/22,02/08/22,22.83%,23.14%
SBUX|20220311|92.00P,SBUX,92.00,-5.62%,0.94,1.02,1.10,1.79,0.00,unch,0,11,0.00,28.05%,Put,30,03/11/22,02/08/22,22.83%,23.14%
SBUX|20220311|93.00P,SBUX,93.00,-4.60%,1.16,1.22,1.28,1.17,-0.92,-44.02%,1,15,0.07,26.78%,Put,30,03/11/22,"10:47 ET",22.83%,23.14%
SBUX|20220311|94.00P,SBUX,94.00,-3.57%,1.38,1.46,1.55,2.59,0.00,unch,0,6,0.00,26.73%,Put,30,03/11/22,02/08/22,22.83%,23.14%
SBUX|20220311|95.00P,SBUX,95.00,-2.54%,1.65,1.73,1.82,1.93,-1.25,-39.31%,6,51,0.12,25.96%,Put,30,03/11/22,"10:17 ET",22.83%,23.14%
SBUX|20220311|96.00P,SBUX,96.00,-1.52%,1.96,2.06,2.16,3.25,0.00,unch,0,16,0.00,25.28%,Put,30,03/11/22,02/07/22,22.83%,23.14%
SBUX|20220311|97.00P,SBUX,97.00,-0.49%,2.40,2.49,2.58,4.06,0.00,unch,0,7,0.00,25.09%,Put,30,03/11/22,02/08/22,22.83%,23.14%
SBUX|20220311|98.00P,SBUX,98.00,+0.53%,2.87,2.96,3.05,4.45,0.00,unch,0,10,0.00,24.76%,Put,30,03/11/22,02/08/22,22.83%,23.14%
SBUX|20220311|99.00P,SBUX,99.00,+1.56%,3.45,3.55,3.65,0.00,0.00,unch,0,21,0.00,25.00%,Put,30,03/11/22,N/A,22.83%,23.14%
SBUX|20220311|100.00P,SBUX,100.00,+2.59%,4.05,4.18,4.30,5.40,0.00,unch,0,3,0.00,25.06%,Put,30,03/11/22,02/01/22,22.83%,23.14%
SBUX|20220311|101.00P,SBUX,101.00,+3.61%,4.70,4.85,5.00,5.15,-0.16,-3.01%,2,2,1.00,25.11%,Put,30,03/11/22,"09:37 ET",22.83%,23.14%
SBUX|20220311|102.00P,SBUX,102.00,+4.64%,5.35,5.53,5.70,6.51,0.00,unch,0,7,0.00,24.66%,Put,30,03/11/22,01/31/22,22.83%,23.14%
SBUX|20220311|103.00P,SBUX,103.00,+5.66%,6.25,6.38,6.50,6.71,0.00,unch,0,5,0.00,25.63%,Put,30,03/11/22,02/02/22,22.83%,23.14%
SBUX|20220311|104.00P,SBUX,104.00,+6.69%,7.00,7.23,7.45,8.41,0.00,unch,0,0,0.00,26.29%,Put,30,03/11/22,01/31/22,22.83%,23.14%
SBUX|20220311|105.00P,SBUX,105.00,+7.71%,7.80,8.05,8.30,10.59,0.00,unch,0,0,0.00,26.27%,Put,30,03/11/22,02/08/22,22.83%,23.14%
SBUX|20220311|106.00P,SBUX,106.00,+8.74%,8.75,8.98,9.20,10.92,0.00,unch,0,4,0.00,27.31%,Put,30,03/11/22,02/07/22,22.83%,23.14%
SBUX|20220311|107.00P,SBUX,107.00,+9.77%,9.70,9.95,10.20,11.62,0.00,unch,0,10,0.00,28.95%,Put,30,03/11/22,01/28/22,22.83%,23.14%
SBUX|20220311|108.00P,SBUX,108.00,+10.79%,10.50,10.83,11.15,0.00,0.00,unch,0,5,0.00,28.76%,Put,30,03/11/22,N/A,22.83%,23.14%
SBUX|20220311|109.00P,SBUX,109.00,+11.82%,11.45,11.75,12.05,15.55,0.00,unch,0,1,0.00,29.13%,Put,30,03/11/22,02/04/22,22.83%,23.14%
SBUX|20220311|110.00P,SBUX,110.00,+12.84%,12.20,12.60,13.00,13.67,0.00,unch,0,12,0.00,27.34%,Put,30,03/11/22,01/31/22,22.83%,23.14%
SBUX|20220311|115.00P,SBUX,115.00,+17.97%,17.20,17.75,18.30,0.00,0.00,unch,0,0,0.00,39.01%,Put,30,03/11/22,N/A,22.83%,23.14%
SBUX|20220311|120.00P,SBUX,120.00,+23.10%,22.10,22.60,23.10,0.00,0.00,unch,0,0,0.00,41.86%,Put,30,03/11/22,N/A,22.83%,23.14%
SBUX|20220311|125.00P,SBUX,125.00,+28.23%,27.15,27.53,27.90,28.31,28.31,unch,1,0,0.00,45.01%,Put,30,03/11/22,"10:19 ET",22.83%,23.14%
SBUX|20220311|130.00P,SBUX,130.00,+33.36%,32.45,32.75,33.05,0.00,0.00,unch,0,0,0.00,59.73%,Put,30,03/11/22,N/A,22.83%,23.14%
SBUX|20220311|135.00P,SBUX,135.00,+38.49%,37.15,37.65,38.15,0.00,0.00,unch,0,0,0.00,62.09%,Put,30,03/11/22,N/A,22.83%,23.14%
SBUX|20220311|140.00P,SBUX,140.00,+43.62%,42.10,42.68,43.25,0.00,0.00,unch,0,0,0.00,68.61%,Put,30,03/11/22,N/A,22.83%,23.14%
"Downloaded from Barchart.com as of 02-09-2022 10:15am CST"
